datetime,P_0.02m,P_0.06m,P_0.10m,P_0.14m,P_0.18m,P_0.22m,P_0.26m
19/06/2024 12:00,20.31383059,19.77664518,19.37024117,19.06413611,18.84867071,18.66383772,18.50528211
19/06/2024 12:15,20.48815844,19.8840537,19.44059944,19.10811766,18.87162756,18.67136794,18.50305433
19/06/2024 12:30,20.75254175,20.02899503,19.52342606,19.15672072,18.89828466,18.68192511,18.50355215
19/06/2024 12:45,20.92309496,20.17236471,19.61666298,19.2107788,18.92791914,18.69504004,18.50598974
19/06/2024 13:00,21.03986094,20.29335546,19.71086884,19.27020797,18.96171163,18.71111136,18.51112814
19/06/2024 13:15,21.1509125,20.40023565,19.8033371,19.33626708,19.00274442,18.73239355,18.51979513
19/06/2024 13:30,21.16216967,20.4765563,19.88610077,19.40083083,19.0448377,18.75605421,18.530482
19/06/2024 13:45,21.20705912,20.53797864,19.95756912,19.46182021,19.08740972,18.78139334,18.54307813
19/06/2024 14:00,21.40788195,20.63837575,20.02977562,19.52080115,19.1304624,18.80864935,18.55777616
19/06/2024 14:15,21.68568156,20.79219198,20.11738205,19.5805374,19.17331289,18.83712035,18.57443495
19/06/2024 14:30,21.93763659,20.96547651,20.22648048,19.6502777,19.22122358,18.86873274,18.59339208
19/06/2024 14:45,22.14509318,21.12735509,20.34150314,19.72742614,19.27400945,18.90369254,18.61521215
19/06/2024 15:00,22.32900927,21.29285573,20.46549416,19.81272086,19.33209394,18.942694,18.63997717
19/06/2024 15:15,22.47928545,21.43929243,20.58872604,19.9031864,19.39507078,18.98487311,18.66728849
19/06/2024 15:30,22.62452624,21.57708692,20.71003532,19.9966236,19.46178221,19.03032523,18.69738836
19/06/2024 15:45,22.77719424,21.71856641,20.82941437,20.0898796,19.52990698,19.07713347,18.72841139
19/06/2024 16:00,22.90967104,21.84733915,20.94840813,20.18787154,19.60378622,19.12915831,18.7631442
19/06/2024 16:15,23.04530451,21.97493123,21.0621376,20.28318557,19.6782739,19.1839736,18.80115957
19/06/2024 16:30,23.15232775,22.09157133,21.17492485,20.38041457,19.75554441,19.24158125,18.84190244
19/06/2024 16:45,23.24283716,22.19446516,21.27946854,20.47428092,19.83224844,19.29993658,18.88397665
19/06/2024 17:00,23.33817599,22.30435132,21.38476181,20.56830176,19.91076063,19.36091261,18.92903585
19/06/2024 17:15,23.42811701,22.41892003,21.4953804,20.6641117,19.99019598,19.42363005,18.97648687
19/06/2024 17:30,23.50248263,22.50952482,21.59489632,20.75816878,20.0702722,19.48767882,19.02563925
19/06/2024 17:45,23.55024073,22.59402799,21.69286537,20.85156211,20.15063833,19.55315428,19.07649679
19/06/2024 18:00,23.59106943,22.67732381,21.78782272,20.94205245,20.22991537,19.61923438,19.12908239
19/06/2024 18:15,23.58788225,22.71907758,21.86139679,21.02388915,20.30532812,19.68365508,19.18147154
19/06/2024 18:30,23.59857676,22.76819372,21.93133736,21.10323104,20.38167547,19.75025969,19.23572035
19/06/2024 18:45,23.58250735,22.80009794,21.99210358,21.17763671,20.45640157,19.81751852,19.29130049
19/06/2024 19:00,23.53260157,22.81803846,22.04624748,21.24665412,20.52695249,19.88213187,19.34623976
19/06/2024 19:15,23.45878527,22.80132245,22.07512856,21.30083617,20.58814214,19.94145995,19.39869375
19/06/2024 19:30,23.36750719,22.7722373,22.08794212,21.33977469,20.63816427,19.99367934,19.44741888
19/06/2024 19:45,23.28895685,22.73487043,22.08891106,21.3674713,20.67930006,20.03922873,19.49156828
19/06/2024 20:00,23.22998926,22.69961309,22.08358002,21.38863715,20.71506666,20.08083372,19.53205557
19/06/2024 20:15,23.14491579,22.65407705,22.07151985,21.4039646,20.74667715,20.11952048,19.57092733
19/06/2024 20:30,23.01675341,22.59168767,22.04964256,21.40997084,20.77055334,20.15296584,19.6068923
19/06/2024 20:45,22.86930582,22.51697111,22.02126884,21.41134604,20.79012083,20.18246107,19.63983984
19/06/2024 21:00,22.71850321,22.42932844,21.98324013,21.40695151,20.80454611,20.20784026,19.66966123
19/06/2024 21:15,22.56419108,22.33417272,21.93518448,21.39490088,20.81470846,20.23015623,19.69717283
19/06/2024 21:30,22.41940615,22.23717832,21.88254356,21.3775669,20.82054113,20.24992781,19.72303076
19/06/2024 21:45,22.28481791,22.13876104,21.82319069,21.35377845,20.82149862,20.26610403,19.74679441
19/06/2024 22:00,22.14627573,22.03923559,21.75864792,21.32135161,20.81353925,20.27539473,19.76574774
19/06/2024 22:15,22.00615999,21.93919897,21.69403839,21.28764685,20.8035333,20.28193503,19.78214903
19/06/2024 22:30,21.86112902,21.83518362,21.6248455,21.24918135,20.78853773,20.28385573,19.79487486
19/06/2024 22:45,21.70734904,21.72537183,21.55154991,21.20645293,20.76930021,20.28186446,19.80441923
19/06/2024 23:00,21.55717013,21.61285161,21.47429657,21.15978583,20.74636625,20.27650481,19.81116934
19/06/2024 23:15,21.41503069,21.50048208,21.39347649,21.10915908,20.71963857,20.26849394,19.81546469
19/06/2024 23:30,21.28171656,21.39078283,21.3114624,21.05594405,20.69039129,20.25760107,19.81709547
19/06/2024 23:45,21.15014002,21.28207159,21.2284584,20.99988326,20.65783094,20.24367361,19.8166892
20/06/2024 00:00,21.02602312,21.17620038,21.1462822,20.94355544,20.62415289,20.22838431,19.81417722
20/06/2024 00:15,20.90624354,21.07260465,21.06414986,20.88581618,20.58850263,20.21055441,19.80952329
20/06/2024 00:30,20.78802035,20.9714961,20.98288536,20.82732352,20.55117964,20.19109755,19.80336447
20/06/2024 00:45,20.67556307,20.8725543,20.90122604,20.76651152,20.51035475,20.16791945,19.79345197
20/06/2024 01:00,20.56124422,20.77191495,20.81961823,20.7057186,20.46914266,20.14375906,19.78270025
20/06/2024 01:15,20.45420763,20.6764121,20.73960686,20.64463004,20.42690252,20.1180976,19.77008886
20/06/2024 01:30,20.34800646,20.58203458,20.66043472,20.58367499,20.38377355,20.09079962,19.75580854
20/06/2024 01:45,20.25200197,20.49355077,20.58349609,20.52271613,20.33954023,20.06241827,19.74027128
20/06/2024 02:00,20.13972399,20.39802885,20.50525284,20.46151503,20.29491209,20.03263693,19.72303457
20/06/2024 02:15,20.04562876,20.31187391,20.42984009,20.400745,20.24934171,20.00137549,19.70413465
20/06/2024 02:30,19.95224116,20.2262206,20.35531044,20.34016188,20.20349668,19.96975928,19.68437834
20/06/2024 02:45,19.85297701,20.13797521,20.27972412,20.27991637,20.1584699,19.93865233,19.66495771
20/06/2024 03:00,19.7561867,20.05115461,20.20623779,20.21963652,20.11134123,19.9045394,19.64243192
20/06/2024 03:15,19.66283724,19.96661519,20.13287354,20.15947493,20.06481718,19.87026053,19.61941786
20/06/2024 03:30,19.56472704,19.87993192,20.05880165,20.0988346,20.0172727,19.83520918,19.59549398
20/06/2024 03:45,19.4708874,19.79395818,19.98393631,20.03777655,19.96990751,19.80104475,19.57202596
20/06/2024 04:00,19.40515063,19.71960782,19.91327286,19.97734412,19.92145513,19.76423102,19.54619474
20/06/2024 04:15,19.33530352,19.65000677,19.84552383,19.9179283,19.87329649,19.72737723,19.51987715
20/06/2024 04:30,19.25098727,19.57456731,19.7778511,19.8591915,19.82495664,19.69009047,19.49271078
20/06/2024 04:45,19.18053362,19.50877332,19.71557045,19.80298575,19.77730345,19.65213423,19.46453733
20/06/2024 05:00,19.10239718,19.43714284,19.65191269,19.7473236,19.73052,19.61468153,19.43642683
20/06/2024 05:15,19.02297899,19.365808,19.58814621,19.69207152,19.68406271,19.57764845,19.40815801
20/06/2024 05:30,18.95411799,19.2957282,19.52332878,19.63586959,19.63784384,19.54123145,19.38056059
20/06/2024 05:45,18.88414118,19.22290372,19.45612144,19.57846411,19.59087728,19.50437003,19.35259313
20/06/2024 06:00,18.81349299,19.15815496,19.39483452,19.52354392,19.54400038,19.46621542,19.32298536
20/06/2024 06:15,18.74784014,19.09684133,19.33691025,19.47093543,19.49800276,19.42775565,19.29267568
20/06/2024 06:30,18.70839998,19.04036283,19.27968788,19.4185253,19.45257543,19.3897975,19.26249571
20/06/2024 06:45,18.71271059,19.00323057,19.22811127,19.36766967,19.40776037,19.35253935,19.23271436
20/06/2024 07:00,18.71282313,18.97337865,19.18157768,19.31868514,19.36366438,19.31586867,19.20346136
20/06/2024 07:15,18.69723818,18.94689512,19.14277267,19.27409896,19.32127546,19.27875548,19.17324705
20/06/2024 07:30,18.69196245,18.92344617,19.10757637,19.23343619,19.2808206,19.24275237,19.14353056
20/06/2024 07:45,18.6819546,18.90092802,19.07407188,19.19441184,19.24204611,19.20776015,19.11420316
20/06/2024 08:00,18.63769457,18.86929273,19.04127121,19.15776595,19.20509886,19.17371588,19.08505125
20/06/2024 08:15,18.64651034,18.84788465,19.01018524,19.12301596,19.16960691,19.14038496,19.05631895
20/06/2024 08:30,18.63945315,18.83014249,18.98238564,19.09018668,19.13594221,19.10844069,19.02812834
20/06/2024 08:45,18.65243265,18.81728887,18.95708084,19.0588642,19.10333799,19.07748633,19.00037451
20/06/2024 09:00,18.7508938,18.83667707,18.9425087,19.03228339,19.07311796,19.04751616,18.973067
20/06/2024 09:15,18.87232706,18.87990522,18.94022179,19.01021918,19.04518102,19.01883536,18.94656629
20/06/2024 09:30,18.99146387,18.93723058,18.95062256,18.99460181,19.02007459,18.99141341,18.92079801
20/06/2024 09:45,19.04648325,18.9848361,18.96879196,18.98667296,18.9993131,18.9661582,18.8962142
20/06/2024 10:00,19.10275576,19.02551221,18.98921776,18.98500975,18.98371671,18.94392043,18.87274809
20/06/2024 10:15,19.20605204,19.07929754,19.01336861,18.98782691,18.97217535,18.9249919,18.85142584
20/06/2024 10:30,19.25381205,19.12610006,19.04009628,18.99437293,18.96449445,18.90892821,18.83210821
20/06/2024 10:45,19.2613003,19.15542364,19.06529999,19.00370558,18.96041845,18.89604025,18.81503553
20/06/2024 11:00,19.26759455,19.17365789,19.08434486,19.01318701,18.95815443,18.88516455,18.79981489
20/06/2024 11:15,19.26588557,19.18376302,19.09749031,19.02085265,18.95672392,18.87612753,18.78602285
20/06/2024 11:30,19.29281733,19.19806241,19.10846329,19.02706298,18.95586942,18.8683589,18.7737853
20/06/2024 11:45,19.39157793,19.23479223,19.12355423,19.03341063,18.9556043,18.86190062,18.76317091
20/06/2024 12:00,19.57287714,19.31203222,19.15158653,19.04275855,18.95650266,18.85667067,18.75358457
20/06/2024 12:15,19.7781708,19.41773748,19.19664383,19.05818137,18.95896124,18.85210638,18.7451293
20/06/2024 12:30,19.93223879,19.52978277,19.25704575,19.0823284,18.9653623,18.84913474,18.73743315
20/06/2024 12:45,20.09665224,19.64123487,19.32565117,19.11572989,18.97723364,18.84918814,18.73141355
20/06/2024 13:00,20.24381182,19.75675153,19.40001488,19.15563163,18.99461912,18.85259467,18.72749967
20/06/2024 13:15,20.28807375,19.84674406,19.48020744,19.20677527,19.02120184,18.86203413,18.72677679
20/06/2024 13:30,20.37555811,19.92030286,19.5459671,19.25444754,19.04870771,18.87351637,18.72808332
20/06/2024 13:45,20.50186083,20.00765752,19.6120491,19.30269393,19.07882856,18.88863974,18.73210401
20/06/2024 14:00,20.6321213,20.10358381,19.68240929,19.35288199,19.11167883,18.90670615,18.73900671
20/06/2024 14:15,20.81805155,20.21628522,19.75877762,19.40566786,19.1466062,18.92699461,18.74835272
20/06/2024 14:30,21.04343531,20.35717153,19.8461647,19.46186408,19.1828401,18.94864684,18.75905866
20/06/2024 14:45,21.21087954,20.49710416,19.94520378,19.52617224,19.22409605,18.97324782,18.77202863
20/06/2024 15:00,21.43628809,20.65183782,20.05216408,19.59711417,19.2694528,19.00072699,18.78713102
